Fri. Sep. 18, 2020             LANDSAT 7                 Time: 13:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 039 / 035

L0R Reference Image: L71EDC1899281180600_HDF.202022252
Acquisition Date: Oct 08, 1999

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
038   035   06-13-2000, 07-01-2015
038   036   06-13-2000, 09-19-2015
039   034   07-06-2000, 07-24-2015
039   035   05-03-2000, 07-24-2015
039   036   05-03-2000, 03-04-2016
040   034   06-11-2000, 05-09-2014
040   035   06-11-2000, 04-23-2014


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0390350766_01   36.013808 -115.240826   745.000      -1.444     0.124    -1.444    -0.100
0390350768_01   36.092875 -115.006136   455.000       3.013    -1.229     3.164    -0.749
0390350770_01   35.809041 -115.412679  1020.066      -6.217    -3.050    -5.659    -3.968
0390350771_01   36.150471 -115.088733   513.000      -0.602     0.813    -0.720     0.710
0390350772_01   36.172076 -114.540895   445.000       1.608    -0.379     1.646    -0.126
0390350774_01   36.261136 -115.232615   680.000      -2.217    -1.842    -1.904    -2.159
0390350775_01   36.013956 -114.735522   349.000      -0.592     0.801    -0.708     0.699
0390350778_01   36.553470 -114.445079   361.000       6.173    -2.259     6.444    -1.281
0390350780_01   35.612937 -114.665097   170.000      -1.402     3.195    -1.880     2.938
0390350781_01   36.324617 -115.264938   718.813      -4.089    -0.198    -4.004    -0.824
0390350785_01   35.733393 -114.699727   175.000      -2.750    -0.409    -2.654    -0.831
0390350786_01   36.285663 -113.821320   993.209       4.389     6.236     3.370     6.832
0390350787_01   35.634412 -114.260675  1101.771       2.049    -2.174     2.356    -1.826
0390350788_01   36.351474 -115.327855   837.733      -0.392    -6.523     0.619    -6.496
0390350790_01   35.818877 -115.640284   779.329      -1.615     0.008    -1.594    -0.242
0390350793_01   36.320769 -115.242634   708.062      -1.252     1.695    -1.496     1.479
0390350797_01   35.986783 -113.971756  1655.196      -2.748     0.139    -2.732    -0.287
0390350801_01   36.538975 -115.454514   949.846       2.310    -5.887     3.185    -5.453
0390350802_01   35.794916 -115.626424   762.284       0.168     2.777    -0.263     2.765
0390350803_01   36.453401 -114.885154   577.000       2.975    -4.760     3.669    -4.242
0390350805_01   36.230194 -114.514040   813.000       3.101    -3.164     3.548    -2.644
0390350810_01   35.972747 -114.892413   732.000       1.235     2.647     0.810     2.803
0390350811_01   35.285266 -114.601271   172.321      -2.780    -0.609    -2.652    -1.034
0390350815_01   36.641361 -114.629051   494.000       1.584     0.956     1.417     1.187
0390350817_01   35.456465 -114.906959  1023.933       2.481    -0.238     2.483     0.150
0390350818_01   36.189015 -114.497000   531.000      -3.647    -1.211    -3.415    -1.759
0390350822_01   35.237956 -114.576065   167.702      -2.004    -0.998    -1.825    -1.297
0390350824_01   36.023054 -114.924358   652.000      -3.220    -3.566    -2.627    -4.016
0390350825_01   36.438636 -114.373890   413.000      -0.796    -1.220    -0.599    -1.328
0390350826_01   36.189920 -115.441392  1544.538      -2.513    -4.133    -1.839    -4.459
0390350828_01   36.408750 -114.960301   733.000       2.873    -6.021     3.762    -5.500
0390350830_01   36.430041 -114.476904   493.000       1.984     4.780     1.223     5.026
0390350831_01   35.710752 -114.171208   922.736       1.723     1.745     1.429     1.989
0390350832_01   36.390403 -114.494913  1058.000       2.652    -3.880     3.212    -3.420
0390350833_01   35.258665 -114.401362  1279.898      -2.978    -3.530    -2.390    -3.943
0390350835_01   36.552567 -114.330154   342.000       6.790    -3.514     7.247    -2.426
0390350836_01   35.528353 -114.546476   799.997      -2.017     0.589    -2.082     0.269
0390350837_01   35.994576 -115.239256   747.000      -6.071    -3.633    -5.428    -4.522
0390350843_01   36.727398 -113.862300  1664.208       3.591     1.314     3.338     1.848
0390350844_01   35.633704 -115.944269   696.867       0.680    -3.298     1.183    -3.149
0390350846_01   35.761268 -115.663830   761.817      -1.074    -0.512    -0.979    -0.672
0390350847_01   35.934839 -114.859169   592.000       2.016     0.778     1.869     1.079
0390350848_01   35.766228 -114.720022   306.000       0.723     0.167     0.688     0.276
0390350849_01   36.243601 -115.255063   681.248      -0.525    -1.239    -0.327    -1.304
0390350850_01   36.238198 -115.514547  1663.813      -2.174    -1.685    -1.881    -1.995
0390350851_01   35.673717 -114.194738   989.211       2.358     5.229     1.517     5.525
0390350853_01   35.438828 -114.902770   979.037      -1.341    -1.158    -1.143    -1.350
0390350854_01   36.255048 -114.729590   885.000      -1.264    -0.751    -1.131    -0.935
0390350855_01   36.515845 -114.625852   825.000      -1.205    -1.851    -0.905    -2.012
0390350858_01   36.255177 -113.743125  1773.655      -3.201    -5.282    -2.345    -5.699
0390350864_01   36.694456 -113.894514  1427.154      -1.596     0.449    -1.644     0.198
0390350865_01   35.737525 -115.575007   750.727      -1.324    -2.702    -0.887    -2.870
0390350866_01   35.465824 -115.682304  1096.309      -0.630     0.857    -0.753     0.747
0390350867_01   36.427590 -115.732168  1765.585      -3.681    -1.343    -3.417    -1.888
0390350869_01   36.725932 -113.827442  1442.665       1.877     3.877     1.256     4.113
0390350870_01   36.750091 -114.857886   649.000       0.984     1.095     0.803     1.232
0390350871_01   35.819845 -115.678459   773.000      -0.182     3.620    -0.739     3.543
0390350872_01   36.782400 -115.522948  1220.338       0.381    -0.521     0.457    -0.456
0390350876_01   36.689633 -113.845379  1494.886       1.494    -0.879     1.607    -0.637
0390350877_01   35.383504 -114.043346  1139.664      -0.004     5.816    -0.906     5.737
0390350878_01   36.229140 -113.730523  1766.512       1.945     0.404     1.853     0.699
0390350879_01   35.261110 -115.096970  1241.046      -1.497    -3.735    -0.896    -3.914
0390350881_01   36.404884 -113.945238   642.884       1.148     0.632     1.035     0.801
0390350882_01   36.686296 -113.923722  1338.289      -0.603     5.060    -1.372     4.900
0390350883_01   36.472407 -113.911456   885.826      -4.452    -4.167    -3.755    -4.799
0390350884_01   36.608932 -115.601388   970.150       5.847    -2.352     6.129    -1.424
0390350885_01   36.675825 -114.515191   546.000      -3.958    -0.962    -3.761    -1.558
0390350887_01   36.628576 -113.806285  1337.660      -3.873    -3.636    -3.264    -4.182
0390350888_01   36.731312 -114.225560   402.000      -6.537     3.473    -6.991     2.425
0390350892_01   35.289049 -115.098968  1458.889      -5.923     3.121    -6.321     2.158
0390350893_01   36.863707 -115.391134  1258.219       1.311    -6.028     2.218    -5.743
0390350894_01   35.857380 -115.698775   794.712       0.185     1.592    -0.062     1.599
0390350895_01   36.960079 -115.399199  1364.119       1.428     5.755     0.528     5.891
0390350896_01   35.857785 -115.899456  1015.521       4.608     1.047     4.383     1.742
0390350899_01   36.735266 -115.371642  1328.120       2.268    -1.705     2.498    -1.334
0390350900_01   36.717048 -115.344826  1309.422      -3.346    -1.196    -3.114    -1.692
0390350901_01   36.633078 -115.584852  1155.544      -1.522     6.841    -2.550     6.512
0390350902_01   35.423609 -115.807887  1294.717       5.023    -2.542     5.345    -1.729
0390350903_01   35.362100 -115.138869  1493.913      -2.401    -0.046    -2.358    -0.417
0390350904_01   36.020261 -115.583245  1504.866       4.538     5.082     3.688     5.706
0390350906_01   35.848492 -115.676322   789.228       0.060     5.065    -0.723     5.005
0390350907_01   36.732728 -115.573962  1339.187       3.507     0.225     3.424     0.758
0390350908_01   36.008530 -115.822795   871.299       0.346     0.718     0.232     0.761
0390350909_01   36.839202 -115.339839  1787.271       3.240     6.428     2.209     6.827
0390350910_01   36.619931 -115.664269   909.825       1.452     0.233     1.398     0.452
0390350911_01   36.556474 -115.601999   961.056       4.072     2.669     3.607     3.256
0390350912_01   36.652082 -115.662348   906.808       0.451     3.251    -0.054     3.276
0390350913_01   35.404621 -115.945612  1042.536       2.065     0.772     1.918     1.080
0390350914_01   36.583419 -115.688041   926.941       0.810    -6.858     1.854    -6.640
0390350916_01   35.312321 -115.086872  1621.020      -2.907    -1.439    -2.641    -1.868
0390350919_01   36.706558 -115.578817  1450.832       2.383    -2.529     2.738    -2.129
0390350920_01   35.328793 -115.263699  1211.068      -3.881     0.086    -3.839    -0.517
0390350923_01   36.932643 -115.581019  1283.438       1.015     1.252     0.810     1.389
0390350925_01   35.310187 -115.267731  1348.048      -1.047    -0.136    -1.011    -0.296
0390350926_01   36.954125 -115.590396  1332.544       2.011    -2.595     2.382    -2.252
0390350927_01   35.371132 -115.805012  1200.693      -3.945    -3.444    -3.353    -4.006
0390350928_01   35.388923 -115.917415   872.767       1.059    -1.379     1.260    -1.196
0390350930_01   35.301077 -114.057238  1104.874       1.632    -4.373     2.286    -4.059
0390350931_01   35.388863 -115.530631  1691.171      -6.195     5.575    -6.965     4.533
0390350932_01   35.421483 -115.704835  1124.347      -1.354     3.891    -1.937     3.626
0390350934_01   35.401481 -115.869671  1108.373       2.244     1.759     1.941     2.080
0390350935_01   35.421891 -115.973796   893.307       3.742    -0.600     3.784    -0.013
0390360001_01   35.361897 -115.492788  1434.524       0.007     3.198    -0.488     3.153
0390360006_01   35.224984 -114.575064   175.866      -2.235    -2.280    -1.854    -2.600
0390360008_01   35.206252 -114.570687   172.173      -1.395    -1.708    -1.113    -1.904
0390360009_01   35.476675 -115.522393  1387.707      -1.322    -2.525    -0.911    -2.693
0390360012_01   35.285570 -114.601609   173.932      -0.744     2.092    -1.061     1.951
0390360032_01   35.304582 -114.605995   173.974      -2.943     5.789    -3.807     5.260
0390360033_01   35.343002 -114.594344   172.056      -6.097     0.598    -6.115    -0.357
0390360037_01   35.218578 -114.276348   815.497       1.332    -1.216     1.502    -0.993
0390360053_01   35.251605 -114.580860   171.319      -5.461    -1.827    -5.111    -2.654
0390360085_01   35.322871 -114.601506   172.991      -5.856     1.159    -5.964     0.234
0390360113_01   35.165332 -114.350608  1097.287       3.882    -6.078     4.771    -5.390
0390360133_01   35.257494 -114.434953  1020.386      -1.583    -2.988    -1.099    -3.193
0390360149_01   35.298274 -115.122506  1318.058      -1.064     0.921    -1.191     0.743
0390360153_01   35.270957 -114.728707  1222.132      -1.469     5.000    -2.225     4.702
0390360160_01   35.211288 -114.500352   483.738      -1.022    -3.739    -0.429    -3.850
0390360174_01   35.361938 -114.777002   746.770       2.508     1.762     2.201     2.128
0390360192_01   35.450530 -116.001176   799.568       2.205     2.305     1.818     2.615
0390360200_01   35.510864 -115.975607   866.773       4.498    -0.467     4.510     0.234
0390360205_01   35.238170 -114.754021  1403.042      -3.167    -3.090    -2.643    -3.537
0390360221_01   35.172094 -114.399452   974.920      -2.166    -2.532    -1.745    -2.834
0390360229_01   35.258015 -114.644317   538.593      -4.227     3.315    -4.687     2.615
0390360246_01   35.221587 -114.425200   917.171      -0.300     1.988    -0.605     1.915
0390360251_01   35.260913 -114.468149   670.104       0.520     0.551     0.427     0.625
0390360252_01   35.362365 -115.139171  1503.938      -1.602    -1.268    -1.382    -1.497
0390360258_01   35.247544 -114.412858  1134.808      -2.834     3.421    -3.326     2.934
0390360261_01   35.292007 -114.456310   771.814       2.542    -0.133     2.528     0.264
0390360262_01   35.134871 -114.106386   843.071       1.471     2.735     1.025     2.928
0390360279_01   35.257732 -115.086459  1220.221      -3.119    -2.612    -2.670    -3.059
0390360286_01   35.404879 -115.945920  1044.384       1.700     1.614     1.427     1.854
0390360304_01   35.431846 -115.850051  1174.024       5.405    -0.490     5.404     0.352
0390360306_01   35.224399 -114.221523   832.217       0.791     5.698    -0.105     5.746
0390360316_01   35.328393 -115.061048  1297.038      -0.442     0.720    -0.547     0.641
0390360331_01   35.388734 -116.053140   532.043       3.379     3.659     2.767     4.133
0390360338_01   35.280160 -114.420390  1095.227      -2.575     2.159    -2.876     1.730
0390360345_01   35.267603 -114.608750   353.695       0.712    -1.872     0.993    -1.738
0390360346_01   35.281004 -114.988984   956.575       1.509    -0.481     1.563    -0.240
0390360354_01   35.239431 -114.994278  1032.740      -0.416     0.802    -0.534     0.727
0390360370_01   35.203324 -114.356262   985.730       0.768     1.711     0.491     1.807
0390360371_01   35.298199 -115.261717  1577.109      -3.613     0.818    -3.686     0.246
0390360379_01   35.300254 -114.399658  1282.828       0.838     2.468     0.443     2.564
0390360383_01   35.221790 -114.702400   978.302      -2.561    -4.897    -1.767    -5.228
0390360389_01   35.295079 -114.499744   579.532       4.409    -3.393     4.877    -2.663
0390360395_01   35.539920 -116.016621   644.860       5.031    -3.408     5.493    -2.584
0390360396_01   35.190067 -114.533286   278.585      -0.372     1.578    -0.613     1.500
0390360426_01   35.416434 -116.062741   555.952       0.817     4.367     0.130     4.435
0390360427_01   35.447975 -116.053458   527.117       1.550     2.260     1.180     2.470
0390360430_01   35.267019 -114.036342  1023.553      -2.251    -2.628    -1.814    -2.942
0390360431_01   35.188763 -114.307328   848.935      -1.722    -2.083    -1.377    -2.323
0390360449_01   35.248124 -114.037716  1028.426       0.317    -1.582     0.557    -1.511
0390360460_01   35.142315 -114.089296   873.550       1.763     2.593     1.335     2.833
0390360463_01   35.185187 -114.040320  1005.111      -0.024     3.181    -0.518     3.135
0390360541_01   35.221184 -114.331957   873.801       0.274    -0.999     0.425    -0.943
0390360559_01   35.569940 -115.952008   822.649       1.578     1.214     1.370     1.441
0390360560_01   35.223962 -114.239293   827.333      -1.079     2.204    -1.408     2.007
0390360604_01   35.545660 -115.869606  1025.091       0.825     0.850     0.683     0.965
0390360610_01   35.132061 -114.113011   830.428      -0.866     2.686    -1.273     2.516
0390360666_01   35.286625 -115.343128  1218.161       1.141     4.888     0.367     4.995
0390360670_01   35.478102 -115.172856  1314.089       0.922     2.788     0.477     2.891
0390360671_01   35.243847 -114.517793   404.693      -3.991    -3.671    -3.371    -4.246
0390360674_01   35.217692 -114.120211  1014.685       0.783     6.826    -0.288     6.856
0390360676_01   35.343534 -114.476795   632.491       1.181     1.444     0.941     1.609
0390360677_01   35.585119 -115.989271   636.556       1.744     0.904     1.582     1.161
0400340084_01   36.677085 -115.408801  1292.325      -6.056    -2.090    -5.648    -2.989
0400340085_01   36.911232 -115.365230  1429.260       5.828     5.619     4.886     6.429
0400340112_01   36.609394 -115.421546  1118.083      -3.550    -0.459    -3.429    -0.997
0400340116_01   36.633364 -115.585450  1141.417      -3.096     3.138    -3.533     2.619
0400340133_01   36.790412 -115.557367  1289.454       2.421    -5.244     3.192    -4.800
0400340151_01   36.709524 -115.577053  1572.800       3.482     4.752     2.703     5.214
0400340175_01   36.687284 -115.441160  1109.108      -3.882    -5.734    -2.946    -6.249
0400340178_01   36.735818 -115.371949  1345.407       4.684    -1.097     4.787    -0.365
0400340187_01   36.629121 -115.763689  1041.956       6.051    -2.135     6.297    -1.179
0400340195_01   36.861299 -115.258599  1604.860      -3.294     5.650    -4.111     5.064
0400340203_01   36.880622 -115.266268  1426.547       0.278    -6.837     1.322    -6.698
0400340237_01   36.876425 -115.313491  1480.153      -4.155     1.387    -4.307     0.731
0400340243_01   36.660268 -115.618911  1074.303       3.567     4.200     2.874     4.688
0400340258_01   36.667686 -115.373081  1594.794      -4.164    -5.702    -3.227    -6.257
0400340264_01   36.752024 -115.492224  1280.931       5.105     3.746     4.459     4.474
0400340269_01   36.610187 -115.568750   981.085       0.904     1.220     0.705     1.341
0400340335_01   36.909170 -115.332945  1412.022       4.836     4.569     4.069     5.243
0400340336_01   36.785388 -115.522511  1230.359      -2.666     2.450    -3.003     2.008
0400340391_01   36.697824 -115.527574  1105.491      -4.164    -3.946    -3.499    -4.529
0400340399_01   36.921636 -115.585268  1185.190      -4.038    -2.957    -3.526    -3.533
0400340430_01   36.517352 -115.586601  1064.519       2.170    -2.353     2.503    -1.988
0400340441_01   36.592900 -115.665383   918.089       0.356     0.164     0.327     0.216
0400340455_01   36.521479 -115.548659   948.277       2.052     1.265     1.831     1.562
0400340498_01   36.538970 -115.454520   948.790       2.323    -4.234     2.943    -3.821
0400340521_01   36.608933 -115.601371   970.429       5.221    -1.595     5.395    -0.774
0400340527_01   36.960085 -115.399225  1361.661       1.403     6.425     0.401     6.548
0400340550_01   36.782409 -115.522931  1220.693       0.045     0.599    -0.047     0.597
0400340571_01   36.765357 -115.457062  1043.107       4.158     3.873     3.508     4.456
0400340589_01   36.554119 -115.541017   906.160      -2.204    -0.919    -2.031    -1.245
0400340597_01   36.611231 -115.480573   906.500      -0.307    -2.567     0.093    -2.579
0400340609_01   36.909647 -115.450098  1019.617       1.752    -0.889     1.865    -0.609
0400340612_01   36.625190 -115.674563   903.918       2.944     1.623     2.656     2.052
0400340646_01   36.709243 -115.576720  1554.764       4.434     3.943     3.766     4.564
0400340648_01   36.633348 -115.585502  1134.319      -1.393     4.395    -2.047     4.120
0400340664_01   36.915563 -115.366812  1387.282       2.340    -0.481     2.382    -0.118
0400340682_01   36.569668 -115.742201   983.996       1.928     1.650     1.649     1.923
0400340740_01   36.876161 -115.313130  1471.005      -4.888    -0.089    -4.803    -0.835
0400340741_01   36.877583 -115.243421  1610.084      -3.498     6.424    -4.430     5.796
0400340752_01   36.631625 -115.197999  2547.244      -5.611     0.240    -5.557    -0.623
0400340753_01   36.719543 -115.164374  2193.674      -2.818    -1.913    -2.481    -2.315
0400340754_01   36.665974 -115.180425  2726.748      -5.152     1.765    -5.338     0.947
0400340755_01   36.802204 -115.176874  1627.899      -4.233     4.210    -4.815     3.501
0400350001_01   35.570794 -115.567000  1761.867      -6.026     4.667    -6.656     3.665
0400350015_01   35.773302 -115.889010  1385.035       4.641    -6.447     5.571    -5.639
0400350016_01   36.518554 -115.550056   960.012      -1.914     1.774    -2.159     1.456
0400350018_01   35.709428 -115.858688  1305.220       0.938     1.557     0.685     1.679
0400350030_01   36.363889 -115.324224   811.846      -4.410    -0.905    -4.211    -1.571
0400350077_01   36.539245 -115.454772   951.484      -1.787    -2.780    -1.334    -3.016
0400350085_01   35.633967 -115.944562   692.546       1.674    -5.139     2.449    -4.812
0400350090_01   35.640133 -115.850704   826.511       1.875    -3.010     2.316    -2.680
0400350096_01   35.781751 -115.840104  1327.215       5.014     6.054     4.007     6.739
0400350141_01   36.132365 -115.424239  1093.146      -5.346    -4.521    -4.573    -5.281
0400350148_01   35.773775 -115.913214  1535.260       0.755    -5.563     1.605    -5.365
0400350149_01   36.677077 -115.408794  1292.944      -6.151    -2.832    -5.629    -3.735
0400350157_01   35.539923 -116.016653   644.197       6.907    -2.529     7.207    -1.427
0400350173_01   36.660264 -115.618907  1075.797       4.819     4.851     4.009     5.521
0400350188_01   36.184870 -115.678692  1843.891       5.335    -6.680     6.284    -5.760
0400350193_01   36.308489 -115.677279  2589.296      -0.458    -4.434     0.232    -4.433
0400350194_01   36.633356 -115.585444  1141.437      -3.552     2.669    -3.911     2.087
0400350215_01   35.607408 -115.937989   754.558       3.427    -4.640     4.100    -4.048
0400350219_01   36.557013 -115.602573   957.452       2.372    -1.018     2.497    -0.641
0400350234_01   36.715236 -115.349897  1369.288       1.248     6.234     0.275     6.336
0400350239_01   35.615525 -115.967351   644.090       2.876    -3.222     3.338    -2.735
0400350245_01   36.586875 -115.608403   944.133       2.246    -6.148     3.161    -5.720
0400350252_01   35.789604 -115.990021   984.486       3.221    -1.442     3.400    -0.926
0400350270_01   35.505094 -115.613876  1546.336       0.711    -2.291     1.056    -2.148
0400350280_01   36.709515 -115.577051  1573.561       3.313     5.138     2.477     5.569
0400350287_01   36.053598 -115.417786  1017.281      -2.752    -1.781    -2.439    -2.180
0400350298_01   35.459533 -116.008002   781.398       4.925     2.535     4.466     3.262
0400350308_01   36.687805 -115.441149  1118.472      -4.061    -4.948    -3.244    -5.502
0400350315_01   35.734429 -115.498127  1341.220      -5.836     3.564    -6.302     2.611
0400350316_01   36.567671 -115.705301   981.266       2.128     0.127     2.081     0.451
0400350319_01   35.404890 -115.945899  1043.757       1.537     1.007     1.360     1.230
0400350325_01   36.168911 -115.580596  1794.875       2.629    -4.438     3.274    -3.968
0400350334_01   35.819361 -115.786084  1068.705      -0.876    -3.008    -0.398    -3.101
0400350340_01   36.384544 -115.433143  1034.226      -2.729     6.331    -3.665     5.824
0400350346_01   36.609387 -115.421546  1118.055      -4.183    -0.185    -4.095    -0.824
0400350349_01   36.447773 -115.349528   899.478      -1.629    -1.563    -1.365    -1.792
0400350352_01   35.993568 -115.844000   835.773       2.795     1.209     2.571     1.623
0400350383_01   35.388748 -116.053111   534.439       3.137     2.956     2.637     3.402
0400350385_01   35.434388 -115.699967  1094.081      -2.812    -1.082    -2.604    -1.502
0400350386_01   36.579022 -115.728581   957.638       0.345    -1.834     0.624    -1.757
0400350398_01   36.068947 -115.454775  1096.949      -5.185    -3.770    -4.530    -4.516
0400350401_01   35.835534 -115.518797  1456.818      -2.623    -1.920    -2.287    -2.297
0400350410_01   36.473279 -115.374112   907.332      -3.364     1.593    -3.562     1.054
0400350413_01   36.733010 -115.574271  1288.463       3.793    -4.436     4.421    -3.793
0400350421_01   36.631088 -115.406370  1341.882       3.031     2.980     2.531     3.402
0400350424_01   36.700542 -115.529199  1143.902      -5.224    -6.088    -4.215    -6.803
0400350425_01   36.742760 -115.531741  1376.691       6.638    -4.064     7.167    -2.991
0400350429_01   36.680977 -115.543662  1386.254       0.405     4.174    -0.241     4.175
0400350430_01   36.644370 -115.534593  1053.062      -0.336     5.333    -1.149     5.208
0400350432_01   36.667676 -115.373080  1595.527      -3.988    -4.352    -3.261    -4.900
0400350434_01   35.811801 -115.524572  1270.783      -3.210     6.743    -4.205     6.151
0400350437_01   35.443033 -115.559708  1635.419      -1.620     6.897    -2.663     6.543
0400350438_01   36.739150 -115.481071  1128.640      -0.134     2.991    -0.589     2.929
0400350440_01   35.620261 -115.519766  1323.939      -6.272    -3.016    -5.714    -3.942
0400350441_01   35.682433 -115.538211   767.842       0.216    -2.438     0.591    -2.372
0400350442_01   35.594844 -115.542403  1272.767      -4.331    -5.727    -3.381    -6.314
0400350443_01   35.756680 -115.505358  1261.835      -4.203     4.841    -4.891     4.122
0400350448_01   36.594542 -115.667044   919.699       2.529    -2.918     2.944    -2.491
0400350450_01   36.155611 -115.421419  1097.910      -3.418    -0.980    -3.219    -1.493
0400350458_01   35.773095 -115.682890   768.000       0.873    -6.524     1.871    -6.301
0400350464_01   36.517351 -115.586295  1062.910       1.071    -2.802     1.488    -2.600
0400350490_01   36.521176 -115.547326   948.681       3.295    -0.886     3.387    -0.369
0400350512_01   36.117287 -115.348180   906.575      -6.429    -4.222    -5.690    -5.155
0400350514_01   35.819761 -115.647925   775.233      -0.769    -2.062    -0.438    -2.153
0400350519_01   36.067701 -115.461823  1135.775      -6.021    -1.148    -5.758    -2.059
0400350533_01   36.077808 -115.491932  1812.990      -3.189    -5.095    -2.354    -5.509
0400350534_01   36.133047 -115.393536  1048.053      -3.006     2.522    -3.352     2.024
0400350564_01   36.465751 -115.398397   872.867      -2.020     1.124    -2.165     0.799
0400350574_01   36.538965 -115.454534   949.315       1.269    -3.723     1.826    -3.478
0400350588_01   36.271828 -115.590078  2009.227      -1.132    -6.463    -0.119    -6.538
0400350616_01   35.466106 -115.682273  1095.039      -2.568    -0.619    -2.435    -1.008
0400350619_01   35.857394 -115.698759   793.335      -2.512    -0.040    -2.470    -0.428
0400350630_01   36.447507 -115.349242   899.020      -1.435     0.894    -1.552     0.661
0400350631_01   36.063934 -115.906890   831.000      -1.467     3.297    -1.955     3.025
0400350643_01   35.657909 -115.735486  1120.019       2.186     5.527     1.301     5.786
0400350648_01   36.277651 -115.347482   939.301      -4.886     1.096    -4.987     0.329
0400350660_01   35.428066 -115.850128  1193.295       5.018     1.836     4.663     2.585
0400350668_01   35.607130 -115.937649   753.170       1.769    -5.727     2.633    -5.376
0400350680_01   35.791629 -115.646730   760.000      -1.809     4.426    -2.468     4.087
0400350694_01   35.781996 -115.586499   769.879       5.109     5.330     4.216     6.046
0400350700_01   35.802315 -115.589129   783.979       1.439     0.494     1.344     0.710
0400350716_01   35.633694 -115.944248   696.112       1.326    -3.617     1.870    -3.364
0400350729_01   36.308116 -115.400959  1123.197      -4.451    -2.527    -3.999    -3.177
0400350740_01   35.764043 -115.624310   754.005      -3.292    -0.102    -3.230    -0.609
0400350754_01   36.161576 -115.443631  1352.105      -6.579     4.674    -7.204     3.595
0400350763_01   35.737507 -115.575000   749.781      -0.687    -3.070    -0.201    -3.135
0400350773_01   35.808017 -115.613924   778.778      -1.391     3.164    -1.860     2.907
0400350776_01   36.717045 -115.344826  1308.889       0.033    -2.733     0.453    -2.690
0400350779_01   36.676822 -115.408809  1285.636      -4.955    -2.720    -4.466    -3.441
0400350781_01   36.687515 -115.440814  1105.821      -2.668    -6.406    -1.646    -6.727
0400350793_01   35.394777 -115.569810  1350.236      -6.392     0.839    -6.428    -0.162
0400350794_01   35.318682 -115.585017  1502.905      -3.468     5.418    -4.256     4.801
