Fri. Sep. 18, 2020             LANDSAT 7                 Time: 13:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 039 / 035

L0R Reference Image: L71EDC1899281180600_HDF.202022252
Acquisition Date: Oct 08, 1999

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
038   035   06-13-2000, 07-01-2015
038   036   06-13-2000, 09-19-2015
039   034   07-06-2000, 07-24-2015
039   035   05-03-2000, 07-24-2015
039   036   05-03-2000, 03-04-2016
040   034   06-11-2000, 05-09-2014
040   035   06-11-2000, 04-23-2014


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0380360604_01   35.512380 -113.971672   885.682      -1.382    -5.002    -0.591    -5.151
0380360626_01   35.247904 -114.037802  1028.143      -2.547    -0.373    -2.456    -0.763
0380360698_01   35.209998 -114.509084   445.604       1.080    -1.596     1.313    -1.408
0380360728_01   35.629544 -114.367422   918.896       2.307    -3.810     2.864    -3.401
0380360729_01   35.140788 -114.346185  1036.306       5.343     3.937     4.657     4.715
0380360741_01   35.343606 -114.431403  1025.911       4.425    -0.847     4.495    -0.148
0380360745_01   35.224015 -114.239209   829.390      -1.853     5.636    -2.704     5.273
0380360753_01   35.210347 -114.057820  1088.107       1.536    -2.588     1.915    -2.314
0380360767_01   35.323724 -114.428226  1034.450      -4.700    -5.207    -3.829    -5.866
0380360776_01   35.269702 -114.031039  1020.703      -4.098     1.732    -4.313     1.072
0380360798_01   35.275788 -114.449945   804.675      -2.710    -0.944    -2.529    -1.353
0380360802_01   35.132160 -114.113133   836.154      -1.733     4.403    -2.395     4.075
0380360846_01   35.394054 -114.482067   704.129       5.342     2.839     4.831     3.631
0380360863_01   35.340957 -114.476806   631.290       1.548     0.298     1.481     0.535
0380360865_01   35.430249 -114.474367  1022.492       0.095    -2.110     0.420    -2.066
0380360866_01   35.369883 -114.486308   683.443       2.932     0.677     2.788     1.124
0380360867_01   35.319654 -114.513160   495.525      -2.536    -0.493    -2.428    -0.881
0380360868_01   35.295124 -114.491977   627.552      -1.939    -5.179    -1.111    -5.413
0380360870_01   35.298113 -114.519475   475.696       0.657    -2.793     1.082    -2.655
0380360871_01   35.242747 -114.517424   390.901       3.507     3.355     2.941     3.858
0390340043_01   36.727651 -113.862602  1660.105       2.651     1.895     2.322     2.276
0390340052_01   36.579168 -113.720162  1620.051      -6.721    -5.696    -5.754    -6.649
0390340064_01   36.646471 -114.309804   370.363       4.664    -4.538     5.303    -3.765
